post_id,post_url,author_id,author_username,author_followers,author_following,author_created,author_account_age_days,author_verified,author_tweet_count,text,created_at,lang,has_media,media_types,media_urls,is_reply,is_retweet,is_quote,possibly_sensitive,likes,retweets,replies,views,bookmarks,quotes,hashtags,content_type,ai_generated,is_synthetic,hour_of_day,engagement_total,engagement_rate
2041815932922634493,https://x.com/EvaWorldEngine/status/2041815932922634493,1886708003774083072,EvaWorldEngine,4070,1827,Tue Feb 04 09:27:13 +0000 2025,436,True,20279,"QRT with art you made with your hands, no AI
#artistsontwitter #artmoots https://t.co/Dy0DiyI0uM",2026-04-08 09:50:28,en,True,photo,https://pbs.twimg.com/media/HFX8xIlXMAA-J_v.jpg,False,False,True,False,77,7,5,3035,5,12,"artistsontwitter,artmoots",control,,False,9,101,0.03327841845140033
2044737418931093960,https://x.com/SarahphinaSP/status/2044737418931093960,1860529443338391552,SarahphinaSP,1824,2325,Sun Nov 24 03:42:49 +0000 2024,509,False,9955,"ARTISTS BEWARE — ‼️🫡 #art #artistsontwitter

Do NOT purchase commissions from @/Kirillcheeeek ! This user is an AI generator and their other arts are AI traced. Be safe, my friends! https://t.co/9Lsx3PrXdk",2026-04-16 11:19:24,en,True,photo,"https://pbs.twimg.com/media/HGBdcSAWEAAiA45.jpg,https://pbs.twimg.com/media/HGBdcSBXMAAdcBh.jpg",False,False,False,False,1329,498,4,20274,134,2,"art,artistsontwitter",control,,False,11,1833,0.09041136430896715
2039738663815319991,https://x.com/auri_nox/status/2039738663815319991,1224714192814530561,auri_nox,6807,476,Tue Feb 04 15:20:06 +0000 2020,2263,False,2193,"♥ bust adoptables! ♥

sp1 (bust): 60$ 
sp2 (bust+fullbody): 240$ 
claim in comments or dm me! :3 

✨ Payment via Boosty or Easystart! ✨
♥Your RTs help me a lot, thank you very much! qwq ♥

#artistsontwitter #dndcharacter #dnd #characterdesign #adopt https://t.co/WVPGSHyW59",2026-04-02 16:16:08,en,True,photo,https://pbs.twimg.com/media/HE6bEPPX0AAdfeC.jpg,False,False,False,False,500,40,6,7167,81,1,"artistsontwitter,dndcharacter,dnd,characterdesign,adopt",control,,False,16,547,0.07632203153341705
2044082753050948010,https://x.com/shyrennoirr/status/2044082753050948010,1963544188219486208,shyrennoirr,1704,1265,Thu Sep 04 10:06:47 +0000 2025,224,True,3236,"HEAD BANNER COMMS DONEEEEE!!
honestly love how lively it looks…

if u want something like this, it’s only $60 :&gt;
dm me before slots fill up!!

#VGenComm #artistsontwitter https://t.co/6e55tc70bw",2026-04-14 15:58:00,en,True,photo,https://pbs.twimg.com/media/HF2qPJYasAYW1Q-.jpg,False,False,False,False,8,2,1,161,0,0,"vgencomm,artistsontwitter",control,,False,15,11,0.06832298136645963
2043630276106961253,https://x.com/sprt_stanslvski/status/2043630276106961253,212879517,sprt_stanslvski,121,243,Sun Nov 07 09:44:37 +0000 2010,5639,False,13069,"Retail Therapy. Milan
By : Andre Kohn
Russian/American
Oil, 24"" x 10"" #ArtistOnTwitter #artistsontwitter #artwork #art #artist #ArtofArcane #artshare #artshare  #Artpakpoom #arttwt #arte #artworkทึเม #kunst  #artvsartist2026 #Artsummary2026 #artmoots https://t.co/sUExmnGiyt",2026-04-13 10:00:01,en,True,photo,https://pbs.twimg.com/media/GbXCHYAXsAAJyi0.png,True,False,False,False,0,0,0,30,0,0,"artistontwitter,artistsontwitter,artwork,art,artist,artofarcane,artshare,artshare,artpakpoom,arttwt,arte,artworkทึเม,kunst,artvsartist2026,artsummary2026,artmoots",control,,False,10,0,0.0
2043969938713670069,https://x.com/AdalahP4500/status/2043969938713670069,2012196953627746304,AdalahP4500,5,12,Fri Jan 16 16:15:33 +0000 2026,90,False,16,My oc!! #art #oc #artistsontwitter #artmoots https://t.co/lrqmWnhT8E,2026-04-14 08:29:43,en,True,photo,https://pbs.twimg.com/media/HF2jzvhasAEebXz.jpg,False,False,False,False,3,0,1,38,0,0,"art,oc,artistsontwitter,artmoots",control,,False,8,4,0.10526315789473684
2043149299261858206,https://x.com/Beephomets_Art/status/2043149299261858206,1501732935241809920,Beephomets_Art,371,703,Thu Mar 10 01:33:47 +0000 2022,1499,False,2920,"New intro

︶꒦꒷♡꒷꒦︶
Hey there, hi, I'm ready to die!
#MeetTheArtist #ArtistsOnTwitter https://t.co/cIplwoAaFX",2026-04-12 02:08:47,en,True,photo,https://pbs.twimg.com/media/HFq4rYeWkAAAvlk.jpg,False,False,False,False,8,2,2,175,0,0,"meettheartist,artistsontwitter",control,,False,2,12,0.06857142857142857
2044806145898877135,https://x.com/somnomaly/status/2044806145898877135,1828066151785500673,somnomaly,51,180,Mon Aug 26 13:45:17 +0000 2024,598,False,91,"🦇 Unique character design for sale! 🦇 Purchase to remove the mosaic censor: https://t.co/n9WoHZSDra 

Once purchased, you own the character and can do whatever you want with them.  #adoptablecharacter #digitalart #artistsontwitter https://t.co/YyFYo2VSXW",2026-04-16 15:52:30,en,True,photo,"https://pbs.twimg.com/media/HGCcUvebAAAd0gD.jpg,https://pbs.twimg.com/media/HGCcVN0bEAA852H.png",False,False,False,False,1,0,0,11,0,0,"adoptablecharacter,digitalart,artistsontwitter",control,,False,15,1,0.09090909090909091
2044760519073022178,https://x.com/WandersonSonyX3/status/2044760519073022178,1137526055206625286,WandersonSonyX3,845,3350,Sun Jun 09 01:05:20 +0000 2019,2504,False,45917,"Today is my birthday… 22 years old 
Please support me by retweeting and sharing

#Birthday #artistsontwitter #smallartist  #supporthumanartists  #artbirthdayparty #ArtCartoon #cartoonart #ArtWork #Doodle #Art #draw  #ibspaint #ArtMoots #drawing #digitalart #Artblock  #digitalart https://t.co/cF6eHbQKF1",2026-04-16 12:51:12,en,True,photo,https://pbs.twimg.com/media/HGBy2wUa4AESCTX.jpg,False,False,False,False,1287,485,195,19993,156,17,"birthday,artistsontwitter,smallartist,supporthumanartists,artbirthdayparty,artcartoon,cartoonart,artwork,doodle,art,draw,ibspaint,artmoots,drawing,digitalart,artblock,digitalart",control,,False,12,1984,0.0992347321562547
2043313434952122695,https://x.com/ashay_pallav/status/2043313434952122695,791956241568247808,ashay_pallav,31,150,Fri Oct 28 10:54:16 +0000 2016,3457,False,1104,"Had fun making this!!! ended up getting featured in the March quest

#ArtistsOnTwitter #DigitalArt

#AnimeArt #Illustration

#ArtCommunity https://t.co/RLw9svOw4q",2026-04-12 13:01:00,en,True,photo,https://pbs.twimg.com/media/HFtOvTzasAApUAd.jpg,False,False,False,False,4,0,0,65,0,0,"artistsontwitter,digitalart,animeart,illustration,artcommunity",control,,False,13,4,0.06153846153846154
